Name,Position,College,Conference,Height,Weight,Age,40-Yard,Vertical,Bench,Broad Jump,3-Cone,20 Y Shuttle,Throwing Velocity (mph),Std. Throwing Score
Dante Pettis,WR,Washington,PAC 12,6-0,186,22,4.59,34,8,121,6.94,4.15,N/A,N/A
Josh Jackson,CB,Iowa,Big 10,6-1,192,22,4.56,38,18,123,6.86,4.03,N/A,N/A
Breeland Speaks,DE,Ole Miss,SEC,6-3,283,22,4.87,32.5,22,110,7.63,4.65,N/A,N/A
Christian Kirk,WR,Texas A&M,SEC,5-10,201,21,4.47,35.5,20,115,7.09,4.45,N/A,N/A
Uchenna Nwosu,OLB,USC,PAC 12,6-3,251,21,4.65,32,20,119,6.92,4.32,N/A,N/A
Dallas Goedert,TE,South Dakota State,MVFC,6-5,256,23,4.73,34.5,23,118,7.02,4.28,N/A,N/A
Connor Williams,T,Texas,BIG 12,6-5,296,21,5.05,34,26,112,7.83,4.63,N/A,N/A
Anthony Miller,WR,Memphis,AAC,5-11,201,23,4.47,35.5,22,122,6.78,4.08,N/A,N/A
Kemoko Turay,OLB,Rutgers,Big 10,6-5,253,23,4.65,34,18,120,7.08,4.31,N/A,N/A
M.J. Stewart,CB,North Carolina,ACC,5-11,200,22,4.54,35,18,118,6.9,4.28,N/A,N/A
Jessie Bates III,S,Wake Forest,ACC,6-2,195,21,4.5,35.5,17,117,6.78,4.26,N/A,N/A
Donte Jackson,CB,LSU,SEC,5-11,175,22,4.32,36.5,7,124,6.6,4.08,N/A,N/A
Duke Dawson,CB,Florida,SEC,5-10,208,21,4.46,33,15,118,6.87,4.18,N/A,N/A
P.J. Hall,DT,Sam Houston State,STHLND,6-0,305,23,5.08,26.5,28,98,7.62,4.72,N/A,N/A
Isaiah Oliver,CB,Colorado,PAC 12,6-1,190,21,4.5,35,10,122,6.93,4.18,N/A,N/A
Derrius Guice,RB,LSU,SEC,5-10,224,21,4.49,31.5,15,121,6.84,4.23,N/A,N/A
James Washington,WR,Oklahoma State,BIG 12,6-0,213,22,4.54,34.5,14,120,7.11,4.32,N/A,N/A
DJ Chark,WR,LSU,SEC,6-3,199,21,4.34,40,16,129,6.77,4.09,N/A,N/A
Brian O'Neill,T,Pittsburgh,ACC,6-7,297,22,4.82,29.5,22,107,7.14,4.5,N/A,N/A
Carlton Davis,CB,Auburn,SEC,6-1,203,21,4.53,34,16,124,6.85,4.17,N/A,N/A
Tyquan Lewis,DE,Ohio State,Big 10,6-5,270,23,4.82,35,23,116,6.84,4.32,N/A,N/A
Brandon Parker,T,North Carolina A&T,MEAC,6-8,305,22,5.4,28.5,19,113,7.82,4.68,N/A,N/A
Lorenzo Carter,DE,Georgia,SEC,6-5,255,22,4.62,35.5,15,126,7.18,4.38,N/A,N/A
Chad Thomas,DE,Miami (FL),ACC,6-6,281,22,4.92,29,22,116,7.48,4.52,N/A,N/A
Justin Reid,S,Stanford,ACC,6-1,204,21,4.4,36.5,16,128,6.65,4.15,N/A,N/A
B.J. Hill,DT,NC State,ACC,6-4,311,23,4.99,26.5,35,101,7.28,4.53,N/A,N/A
Fred Warner,OLB,BYU,Independent,6-3,236,21,4.64,38.5,21,119,6.9,4.28,N/A,N/A
Royce Freeman,RB,Oregon,PAC 12,5-11,229,22,4.54,34,17,118,6.9,4.16,N/A,N/A
Nathan Shepherd,DT,Fort Hays State,MIAA,6-5,315,24,5.09,31,28,112,7.5,4.53,N/A,N/A
Jerome Baker,OLB,Ohio State,Big 10,6-1,229,21,4.53,36.5,22,126,6.73,4.14,N/A,N/A
